requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
9,0.169777778,1,29.6672092,54.33333333,0.888888889,1,9,0
61,1.296163934,1,101.9462891,40.52459016,1,1,61,0
1,0,1,95.02636719,22965,1,1,1,0
9,0.512,1,29.6672092,338.5555556,0.777777778,1,9,0
28,16.34942857,1,1431.656948,568.25,0.964285714,4,9,0
41,2.939268293,1,59.5927258,88.04878049,1,3,39,0
4,50.7255,1,219.800293,387.25,1,2,3,0
1,0,1,0,2,1,1,1,0
1,0,1,0,4,1,1,1,0
245,139.4057224,0.979591837,28.34481824,34.0244898,0.991836735,4,131,0
6,0.389833333,1,44.05843099,66.83333333,0.666666667,1,6,0
62,1.992967742,1,59.29088962,50.64516129,1,2,61,0
3,4.180666667,0.5,4892.457031,4183.666667,1,1,1,0
371,34.38608356,1,20.42031934,20.70619946,0.97574124,3,139,0
9,0.172222222,1,29.6672092,85.88888889,0.777777778,1,9,0
10,11.4796,1,28.59287109,40.1,1,1,9,0
2,9504.425,1,0,5,1,2,2,0
5,0.2044,1,12.80800781,20.4,1,1,5,0
21,0.326047619,1,42.18396577,98,1,1,21,0
49,0.205469388,1,12.66659359,375.0816327,1,1,49,0
42,17.92642857,0.988095238,584.7531157,4076,0.666666667,3,42,0
48,0.120583333,1,10.74835205,142.5208333,1,1,48,0
63,3.453809524,1,25.17619978,58.58730159,0.968253968,2,57,0
69,1.426376812,1,24.13813406,40.14492754,0.985507246,1,68,0
1,0,1,0,7,1,1,1,0
10,2466.8985,1,26.42470703,7.9,0.9,2,10,0
6,1520.075667,1,40.01236979,62,1,3,6,0
42,148.2639048,1,26.18561663,33.66666667,0.928571429,3,37,0
1,0,1,0,3,1,1,1,0
9,0.269444444,1,29.6672092,28.66666667,0.888888889,1,9,0
1,0,1,21.46875,9,1,1,1,0
220,9.274959091,0.920454545,86.58031339,73.92272727,0.813636364,2,198,0
21,156.9105714,1,38.6499721,22.66666667,1,1,13,0
